Event,Description,Time
Дэвис Легаси - Сан-Франциско Гленс,"['США. ', 'USL. ', 'Лига 2']",26 мая 05:00
Портленд Тимберз до 23 - ПДИКС Портленд,"['США. ', 'USL. ', 'Лига 2']",26 мая 05:00
Саутерн Калифорния Сихоузес - Вентура Каунти Фьюжн,"['США. ', 'USL. ', 'Лига 2']",26 мая 05:00
Лос-Анджелес Гэлакси - ФК Лос-Анджелес,"['США. ', 'Открытый кубок. ', '1/8 финала']",26 мая 05:30
Сува - Насину,"['Фиджи. ', 'Кубок. ', 'Групповой этап. ', 'Сингатока']",26 мая 06:00
Спортс Академи Сангха - Манохара Юнайтед,"['Непал. ', 'C Дивизион']",26 мая 06:45
Надрога - Таилеву/Наитасири,"['Фиджи. ', 'Кубок. ', 'Групповой этап. ', 'Сингатока']",26 мая 08:00
Ранибан - Академия 32,"['Непал. ', 'C Дивизион']",26 мая 10:00
Нанди - Лаутока,"['Фиджи. ', 'Кубок. ', 'Групповой этап. ', 'Сингатока']",26 мая 10:00
Парадоу до 21 - УСМ Алжир до 21,"['Алжир. ', 'Лига 1 до 21 года']",26 мая 11:00
Фрауэнталь - ТСФ Ноймаркт,"['Австрия. ', 'Региональный кубок. ', 'Штирия. ', '1/2 финала']",26 мая 11:30
Келантан до 21 - Перлис до 21,"['Малайзия. ', 'Кубок президента. ', 'Групповой этап']",26 мая 11:45
Кучинг до 21 - Куала-Лумпур до 21,"['Малайзия. ', 'Кубок президента. ', 'Групповой этап']",26 мая 11:45
ПДРМ до 21 - Негри-Сембилан до 21,"['Малайзия. ', 'Кубок президента. ', 'Групповой этап']",26 мая 11:45
Саравак Юнайтед до 21 - Паханг до 21,"['Малайзия. ', 'Кубок президента. ', 'Групповой этап']",26 мая 11:45
Теренггану III до 21 - Петалинг Джайа Сити до 21,"['Малайзия. ', 'Кубок президента. ', 'Групповой этап']",26 мая 11:45
УйТМ до 21 - Сабах до 21,"['Малайзия. ', 'Кубок президента. ', 'Групповой этап']",26 мая 11:45
Унион Инсбрук - Цамс,"['Австрия. ', 'Ландеслига. ', 'Тироль']",26 мая 12:00
Фусах - Лустенау 07,"['Австрия. ', 'Ландеслига. ', 'Форарльберг']",26 мая 12:00
Мохаммедан Дакка - Башундара Кингз,"['Бангладеш. ', 'Премьер-лига']",26 мая 12:00
Голд Кост Юнайтед до 23 - Брисбен Сити до 23,"['Австралия. ', 'Квинсленд. ', 'Национальная Премьер-лига до 23 лет']",26 мая 12:30
Колдер Юнайтед - Борундара Иглз,"['Женщины. ', 'Австралия. ', 'Виктория. ', 'Кубок штата. ', '1/4 финала']",26 мая 12:30
Саут Вест Квинсленд Тандер - Ипсвич Найтс,"['Австралия. ', 'Квинсленд. ', 'Премьер-лига']",26 мая 13:00
Индиан Арровс - Кикстарт,"['Женщины. ', 'Индия. ', 'IWL']",26 мая 13:00
КеПС - ПонПа,"['Финляндия. ', 'Колмонен']",26 мая 13:00
СексюПексют - ХИФК,"['Финляндия. ', 'Кубок. ', '5-й раунд']",26 мая 13:00
Гнистан до 20 - КяПа до 20,"['Финляндия. ', 'Лига до 20 лет. ', 'Групповой этап']",26 мая 13:00
Хонка до 20 - Рейпас Лахти до 20,"['Финляндия. ', 'Лига до 20 лет. ', 'Групповой этап']",26 мая 13:00
КуопиоПС - ЕИФ,"['Финляндия. ', 'Кубок. ', '5-й раунд']",26 мая 15:00
Оденсе - Мидтъюлланн,"['Дания. ', 'Кубок. ', 'Финал. ', 'Бреннбю']",26 мая 16:00
КЙЮП Коувола - СалПа,"['Финляндия. ', 'Кубок. ', '5-й раунд']",26 мая 16:00
Хаммарбю - Мальме,"['Швеция. ', 'Кубок. ', 'Финал. ', 'Стокгольм']",26 мая 16:00
Фрам - Лэйкнир Рейкьявик,"['Исландия. ', 'Кубок. ', '1/16 финала']",26 мая 17:00
Викингур Гета - Аргья Болтвелаг,"['Фарерские острова. ', 'Премьер-лига']",26 мая 17:00
Банияс - Аль-Иттихад Кальба,"['ОАЭ. ', 'Арабиан Галф лига']",26 мая 17:15
Хаур-Факкан - Шабаб Аль-Ахли Дубай,"['ОАЭ. ', 'Арабиан Галф лига']",26 мая 17:15
Минск - Арсенал Дзержинск,"['Беларусь. ', 'Высшая лига']",26 мая 18:00
Шейд - Саннес Ульф,"['Норвегия. ', '1-й дивизион']",26 мая 18:00
Черноморец Новороссийск - Дружба,"['Россия. ', 'ФНЛ 2. ', 'Группа 1']",26 мая 18:00
Розенгорд - Хеккен,"['Женщины. ', 'Швеция. ', 'Кубок. ', 'Финал. ', 'Мальме']",26 мая 19:00
КА Акюрейри - Рейнир,"['Исландия. ', 'Кубок. ', '1/16 финала']",26 мая 19:00
Брюне - Стабек,"['Норвегия. ', '1-й дивизион']",26 мая 19:00
Кунгсвингер - Бранн,"['Норвегия. ', '1-й дивизион']",26 мая 19:00
Мьендален - Ранхейм,"['Норвегия. ', '1-й дивизион']",26 мая 19:00
Осане - Гроруд,"['Норвегия. ', '1-й дивизион']",26 мая 19:00
Старт - Реуфосс,"['Норвегия. ', '1-й дивизион']",26 мая 19:00
Схьердал-Блинк - Согндал,"['Норвегия. ', '1-й дивизион']",26 мая 19:00
Фредрикстад - КФУМ,"['Норвегия. ', '1-й дивизион']",26 мая 19:00
Русенборг - Хеугесунн,"['Норвегия. ', 'Элитсериен']",26 мая 19:00
Црвена Звезда - Партизан Белград,"['Сербия. ', 'Кубок. ', 'Финал. ', 'Белград']",26 мая 19:00
Аль-Масри - Нэйшнл Банк,"['Египет. ', 'Премьер-лига']",26 мая 19:30
Аль-Айн - Аль-Шарджа,"['ОАЭ. ', 'Арабиан Галф лига']",26 мая 20:00
Эмирейтс - Аджман,"['ОАЭ. ', 'Арабиан Галф лига']",26 мая 20:00
Б68 Тофтир - НСИ Рунавик,"['Фарерские острова. ', 'Премьер-лига']",26 мая 20:00
Осер - Сент-Этьен,"['Франция. ', 'Лига 1. ', 'Плей-офф за право играть в лиге 1. ', 'Финал. ', 'Первый матч']",26 мая 20:00
Риека - Хайдук Сплит,"['Хорватия. ', 'Кубок. ', 'Финал. ', 'Сплит']",26 мая 20:00
Кайсериспор - Сивасспор,"['Турция. ', 'Кубок. ', 'Финал. ', 'Стамбул']",26 мая 20:45
Витесс - АЗ Алкмаар,"['Нидерланды. ', 'Эредивизи. ', 'Плей-офф за право играть в Лиге конференций UEFA. ', 'Финал. ', 'Первый матч']",26 мая 21:00
Сарпсборг 08 - Молде,"['Норвегия. ', 'Элитсериен']",26 мая 21:00
Монца - Пиза,"['Италия. ', 'Серия B. ', 'Плей-офф за право играть в Серии A. ', 'Финал. ', 'Первый матч']",26 мая 21:30
Пирамидз - Фьюче Каир,"['Египет. ', 'Премьер-лига']",26 мая 22:00
Хаукар - Викингюр Рейкьявик,"['Исландия. ', 'Кубок. ', '1/16 финала']",26 мая 22:15
Брейдаблик - Валюр,"['Исландия. ', 'Кубок. ', '1/16 финала']",26 мая 22:45
Тигрес - Форталеса,"['Колумбия. ', 'Примера B. ', 'Классификационный раунд. ', 'Матчи за 1-8 места']",26 мая 23:00
